setup_code,setup_definition,high_lookback_days,leader,laggard,context_filter,trigger_code,trigger_definition,setup_idx,setup_date,trigger_idx,trigger_date,leader_strength_definition,laggard_definition,branch_id,direction,horizon_day,laggard_abs_return,leader_abs_return,excess_return
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,75,2006-04-21,79.0,2006-04-27,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,1,-0.009702215850902474,0.0009666680246398496,-0.010668883875542323
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,75,2006-04-21,79.0,2006-04-27,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,2,-0.01940337645933421,-0.004130223365705343,-0.015273153093628866
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,75,2006-04-21,79.0,2006-04-27,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,3,-0.016800726428916835,0.0033414498349018107,-0.020142176263818645
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,75,2006-04-21,79.0,2006-04-27,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,4,-0.01822076622211044,0.0016708293769305271,-0.019891595599040968
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,75,2006-04-21,79.0,2006-04-27,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,5,-0.010175808671876951,0.004923802032572588,-0.01509961070444954
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,76,2006-04-24,79.0,2006-04-27,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,1,-0.009702215850902474,0.0009666680246398496,-0.010668883875542323
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,76,2006-04-24,79.0,2006-04-27,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,2,-0.01940337645933421,-0.004130223365705343,-0.015273153093628866
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,76,2006-04-24,79.0,2006-04-27,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,3,-0.016800726428916835,0.0033414498349018107,-0.020142176263818645
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,76,2006-04-24,79.0,2006-04-27,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,4,-0.01822076622211044,0.0016708293769305271,-0.019891595599040968
S2,rolling divergence,60,DIA,QQQ,SPY,T1,relative-strength turn,76,2006-04-24,79.0,2006-04-27,leader made a recent important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF failed to confirm recent high and trailed prior 10-day return,S2_T1_DIA_leads,DIA leads / QQQ lags,5,-0.010175808671876951,0.004923802032572588,-0.01509961070444954
S1,same-day strict non-confirmation,60,DIA,QQQ,SPY,T1,relative-strength turn,80,2006-04-28,84.0,2006-05-04,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,S1_T1_DIA_leads,DIA leads / QQQ lags,1,0.007889071972216888,0.011369899210267986,-0.0034808272380510985
